Program,use_events,message_size,num_exchanges,MTU,Num mlx4 interrupts,Server Mbit/sec,Server voluntary_ctxt_switches,Server user time,Server system time,Server Mbit/sec,Client voluntary_ctxt_switches,Client user time,Client system time
ibv_uc_pingpong,1,128,1000000,1024,2025643,196.57,1995254,3.516000,1.016000,196.57,1995543,3.612000,1.000000,
ibv_rc_pingpong,1,128,1000000,1024,2029519,213.15,1987413,3.656000,0.920000,213.15,1987142,3.688000,0.952000,
ibv_uc_pingpong,0,128,1000000,2048,37,656.54,16,3.120000,0.000000,656.58,15,3.120000,0.000000,
ibv_rc_pingpong,0,128,1000000,2048,26,647.52,16,3.164000,0.000000,647.53,15,3.164000,0.000000,
ibv_uc_pingpong,1,128,1000000,2048,2029224,197.30,1995157,3.600000,0.992000,197.31,1995348,3.540000,1.024000,
ibv_rc_pingpong,1,128,1000000,2048,2034922,211.52,1988872,3.660000,0.936000,211.52,1989137,3.504000,1.052000,
ibv_uc_pingpong,0,128,1000000,4096,26,655.56,16,3.124000,0.000000,655.56,15,3.124000,0.000000,
ibv_rc_pingpong,0,128,1000000,4096,35,649.32,16,3.152000,0.004000,649.33,15,3.156000,0.000000,
ibv_uc_pingpong,1,128,1000000,4096,2027642,191.44,1993727,3.480000,1.220000,191.44,1993647,3.628000,1.132000,
ibv_rc_pingpong,1,128,1000000,4096,2030062,214.24,1986354,3.648000,0.968000,214.24,1986771,3.740000,0.824000,
ibv_uc_pingpong,0,256,1000000,1024,26,1218.49,16,3.360000,0.000000,1218.53,15,3.360000,0.000000,
ibv_rc_pingpong,0,256,1000000,1024,26,1208.17,16,3.392000,0.000000,1208.20,15,3.392000,0.000000,
ibv_uc_pingpong,1,256,1000000,1024,2024091,385.95,1996224,3.500000,1.124000,385.96,1997100,3.616000,1.020000,
ibv_rc_pingpong,1,256,1000000,1024,2028218,414.83,1992079,3.672000,0.932000,414.83,1992304,3.688000,0.940000,
ibv_uc_pingpong,0,256,1000000,2048,38,1226.20,16,3.336000,0.004000,1226.27,15,3.336000,0.004000,
ibv_rc_pingpong,0,256,1000000,2048,25,1213.11,16,3.376000,0.000000,1213.14,15,3.376000,0.004000,
ibv_uc_pingpong,1,256,1000000,2048,2025022,383.58,1996295,3.468000,1.228000,383.58,1996176,3.424000,1.308000,
ibv_rc_pingpong,1,256,1000000,2048,2038149,418.72,1994247,3.636000,0.928000,418.73,1994504,3.668000,0.884000,
ibv_uc_pingpong,0,256,1000000,4096,33,1222.25,16,3.352000,0.000000,1222.30,16,3.352000,0.000000,
ibv_rc_pingpong,0,256,1000000,4096,26,1211.09,16,3.384000,0.000000,1211.15,15,3.384000,0.000000,
ibv_uc_pingpong,1,256,1000000,4096,2024095,384.62,1995704,3.692000,1.016000,384.63,1996319,3.460000,1.232000,
ibv_rc_pingpong,1,256,1000000,4096,2030216,408.16,1994278,3.616000,1.032000,408.16,1994523,3.648000,1.004000,
ibv_uc_pingpong,0,512,1000000,1024,25,2165.64,16,3.784000,0.000000,2165.74,15,3.780000,0.004000,
ibv_rc_pingpong,0,512,1000000,1024,38,2142.19,16,3.824000,0.000000,2142.25,15,3.824000,0.000000,
ibv_uc_pingpong,1,512,1000000,1024,2027810,755.71,1998095,3.680000,1.012000,755.72,1998406,3.548000,1.136000,
ibv_rc_pingpong,1,512,1000000,1024,2025125,779.69,1997453,3.672000,0.984000,779.70,1997654,3.840000,0.816000,
ibv_uc_pingpong,0,512,1000000,2048,25,2167.71,16,3.776000,0.004000,2167.80,15,3.776000,0.004000,
ibv_rc_pingpong,0,512,1000000,2048,35,2137.85,16,3.832000,0.000000,2137.88,15,3.828000,0.004000,
ibv_uc_pingpong,1,512,1000000,2048,2028224,758.55,1998544,3.688000,0.976000,758.56,1998541,3.676000,0.956000,
ibv_rc_pingpong,1,512,1000000,2048,2028846,778.14,1996933,3.556000,1.136000,778.14,1997356,3.564000,1.160000,
ibv_uc_pingpong,0,512,1000000,4096,24,2156.68,18,3.800000,0.000000,2156.74,15,3.796000,0.000000,
ibv_rc_pingpong,0,512,1000000,4096,23,2146.24,16,3.816000,0.000000,2146.34,15,3.816000,0.000000,
ibv_uc_pingpong,1,512,1000000,4096,2022957,741.46,1998213,3.644000,1.076000,741.46,1998318,3.536000,1.180000,
ibv_rc_pingpong,1,512,1000000,4096,2028674,781.98,1997768,3.640000,0.996000,781.99,1997951,3.656000,1.020000,
ibv_uc_pingpong,0,1024,1000000,1024,26,3516.32,16,4.656000,0.004000,3516.37,15,4.660000,0.000000,
ibv_rc_pingpong,0,1024,1000000,1024,38,3502.28,16,4.672000,0.008000,3502.37,15,4.680000,0.000000,
ibv_uc_pingpong,1,1024,1000000,1024,2090806,1435.60,1999348,3.356000,1.416000,1435.62,1999203,3.556000,1.204000,
ibv_rc_pingpong,1,1024,1000000,1024,2010673,1413.15,1998825,3.628000,1.220000,1413.16,1999114,3.704000,1.160000,
ibv_uc_pingpong,0,1024,1000000,2048,26,3516.75,17,4.660000,0.000000,3516.95,15,4.660000,0.000000,
ibv_rc_pingpong,0,1024,1000000,2048,38,3491.21,16,4.692000,0.000000,3491.28,15,4.692000,0.000000,
ibv_uc_pingpong,1,1024,1000000,2048,2107591,1479.74,1998177,3.704000,0.876000,1479.76,1998097,3.416000,1.120000,
ibv_rc_pingpong,1,1024,1000000,2048,2011048,1420.42,1998933,3.616000,1.028000,1420.45,1999139,3.476000,1.192000,
ibv_uc_pingpong,0,1024,1000000,4096,38,3530.67,16,4.640000,0.000000,3530.74,15,4.640000,0.000000,
ibv_rc_pingpong,0,1024,1000000,4096,26,3502.60,16,4.680000,0.000000,3502.67,15,4.680000,0.000000,
ibv_uc_pingpong,1,1024,1000000,4096,2110376,1453.70,1999565,3.508000,1.132000,1453.71,1999529,3.480000,1.184000,
ibv_rc_pingpong,1,1024,1000000,4096,2009843,1403.07,1998992,3.600000,1.192000,1403.08,1999001,3.600000,1.184000,
ibv_uc_pingpong,0,2048,1000000,1024,38,6141.09,16,5.336000,0.000000,6141.16,15,5.336000,0.000000,
ibv_rc_pingpong,0,2048,1000000,1024,26,6086.07,16,5.380000,0.004000,6086.28,15,5.380000,0.004000,
ibv_uc_pingpong,1,2048,1000000,1024,2082229,2631.99,1999568,3.320000,1.640000,2632.00,1999726,3.300000,1.640000,
ibv_rc_pingpong,1,2048,1000000,1024,2005589,2608.52,1999288,3.540000,1.308000,2608.54,1999362,3.568000,1.360000,
ibv_uc_pingpong,0,2048,1000000,2048,37,5144.47,16,6.372000,0.000000,5144.59,15,6.368000,0.004000,
ibv_rc_pingpong,0,2048,1000000,2048,25,5129.72,16,6.388000,0.000000,5129.80,16,6.388000,0.000000,
ibv_uc_pingpong,1,2048,1000000,2048,3917144,2458.95,1999746,3.564000,0.932000,2458.97,1999729,3.460000,1.048000,
ibv_rc_pingpong,1,2048,1000000,2048,2002735,2404.86,1999363,3.800000,1.084000,2404.88,1999466,3.560000,1.232000,
ibv_uc_pingpong,0,2048,1000000,4096,26,5133.18,16,6.380000,0.004000,5133.29,15,6.380000,0.004000,
ibv_rc_pingpong,0,2048,1000000,4096,38,5120.50,16,6.396000,0.004000,5120.50,15,6.400000,0.000000,
ibv_uc_pingpong,1,2048,1000000,4096,3903017,2465.50,1999767,3.612000,0.880000,2465.51,1999768,3.512000,1.044000,
ibv_rc_pingpong,1,2048,1000000,4096,2003446,2366.23,1999452,3.592000,1.380000,2366.25,1999308,3.628000,1.344000,
ibv_uc_pingpong,0,4096,976562,1024,37,9739.16,16,6.572000,0.000000,9739.39,15,6.572000,0.000000,
ibv_rc_pingpong,0,4096,976562,1024,25,9723.48,16,6.580000,0.004000,9723.55,15,6.584000,0.000000,
ibv_uc_pingpong,1,4096,976562,1024,2039332,4691.47,1952915,3.520000,1.192000,4691.50,1952953,3.272000,1.440000,
ibv_rc_pingpong,1,4096,976562,1024,1955989,4599.65,1952556,3.340000,1.508000,4599.67,1952495,3.332000,1.604000,
ibv_uc_pingpong,0,4096,976562,2048,34,8442.01,16,7.580000,0.000000,8442.17,15,7.584000,0.000000,
ibv_rc_pingpong,0,4096,976562,2048,26,8336.37,16,7.680000,0.000000,8336.64,15,7.676000,0.004000,
ibv_uc_pingpong,1,4096,976562,2048,3731222,4360.42,1952939,3.308000,1.272000,4360.45,1952941,3.412000,1.152000,
ibv_rc_pingpong,1,4096,976562,2048,1955236,4276.18,1952568,3.348000,1.532000,4276.22,1952589,3.348000,1.556000,
ibv_uc_pingpong,0,4096,976562,4096,38,6610.95,16,9.680000,0.004000,6611.03,15,9.680000,0.000000,
ibv_rc_pingpong,0,4096,976562,4096,37,6598.03,16,9.700000,0.000000,6598.16,15,9.700000,0.000000,
ibv_uc_pingpong,1,4096,976562,4096,3905080,3914.50,1952931,3.056000,1.896000,3914.53,1952881,3.092000,1.888000,
ibv_rc_pingpong,1,4096,976562,4096,1956299,3692.86,1952569,3.284000,1.800000,3692.89,1952536,3.116000,2.000000,
ibv_uc_pingpong,0,8192,488281,1024,24,13854.57,16,4.620000,0.000000,13854.63,15,4.620000,0.000000,
ibv_rc_pingpong,0,8192,488281,1024,37,13823.82,16,4.632000,0.000000,13824.36,15,4.628000,0.004000,
ibv_uc_pingpong,1,8192,488281,1024,1016177,7497.97,976474,1.524000,1.080000,7498.07,976480,1.532000,1.036000,
ibv_rc_pingpong,1,8192,488281,1024,977268,7703.86,976331,1.712000,0.764000,7703.95,976377,1.780000,0.688000,
ibv_uc_pingpong,0,8192,488281,2048,38,12604.29,16,5.080000,0.000000,12604.53,15,5.080000,0.000000,
ibv_rc_pingpong,0,8192,488281,2048,26,12454.39,16,5.140000,0.000000,12454.63,15,5.140000,0.000000,
ibv_uc_pingpong,1,8192,488281,2048,1660425,7073.98,976479,1.572000,0.956000,7074.06,976492,1.592000,0.888000,
ibv_rc_pingpong,1,8192,488281,2048,977457,7084.17,976319,1.600000,0.984000,7084.25,976257,1.480000,1.136000,
ibv_uc_pingpong,0,8192,488281,4096,37,10377.00,16,6.168000,0.000000,10377.26,15,6.168000,0.000000,
ibv_rc_pingpong,0,8192,488281,4096,26,10344.29,16,6.188000,0.000000,10344.30,15,6.188000,0.000000,
ibv_uc_pingpong,1,8192,488281,4096,1952564,6570.39,976496,1.588000,1.012000,6570.42,976494,1.616000,0.980000,
ibv_rc_pingpong,1,8192,488281,4096,977389,6325.72,976288,1.612000,1.004000,6325.80,976336,1.460000,1.172000,
ibv_uc_pingpong,0,16384,244140,1024,37,17646.94,16,3.628000,0.000000,17647.47,15,3.628000,0.000000,
ibv_rc_pingpong,0,16384,244140,1024,26,17639.35,16,3.624000,0.004000,17639.70,15,3.624000,0.004000,
ibv_uc_pingpong,1,16384,244140,1024,505805,11428.77,488221,0.796000,0.488000,11429.27,488223,0.776000,0.512000,
ibv_rc_pingpong,1,16384,244140,1024,488865,11081.23,488071,0.700000,0.720000,11081.48,488121,0.720000,0.704000,
ibv_uc_pingpong,0,16384,244140,2048,37,16761.54,16,3.816000,0.004000,16762.01,15,3.820000,0.000000,
ibv_rc_pingpong,0,16384,244140,2048,26,16553.58,16,3.864000,0.004000,16554.38,15,3.864000,0.004000,
ibv_uc_pingpong,1,16384,244140,2048,826778,11144.56,488224,0.628000,0.580000,11145.10,488239,0.812000,0.400000,
ibv_rc_pingpong,1,16384,244140,2048,488874,10847.00,488076,0.764000,0.600000,10847.25,488116,0.728000,0.652000,
ibv_uc_pingpong,0,16384,244140,4096,38,14693.96,16,4.356000,0.000000,14694.46,15,4.356000,0.000000,
ibv_rc_pingpong,0,16384,244140,4096,26,14528.83,16,4.408000,0.000000,14529.14,16,4.408000,0.000000,
