Program,use_events,message_size,num_exchanges,MTU,Num mlx4 interrupts,Server Mbit/sec,Server voluntary_ctxt_switches,Server user time,Server system time,Server Mbit/sec,Client voluntary_ctxt_switches,Client user time,Client system time
ibv_rc_pingpong,1,64,1000000,4096,2008672,32.39,1997238,3.099951,9.320799,32.39,1997738,3.182635,9.448937,
ibv_uc_pingpong,0,128,1000000,1024,34,189.68,21,10.805123,0.000000,189.69,19,10.798858,0.007999,
ibv_rc_pingpong,0,128,1000000,1024,34,189.21,20,10.823789,0.007996,189.21,19,10.829134,0.003998,
ibv_uc_pingpong,1,128,1000000,1024,2019632,54.62,1999755,2.894011,8.913341,54.62,1957156,3.875429,12.215112,
ibv_rc_pingpong,1,128,1000000,1024,2006639,63.14,1998879,2.997957,9.494448,63.14,1999401,3.333156,9.548606,
ibv_uc_pingpong,0,128,1000000,2048,34,189.70,21,10.796211,0.007994,189.70,19,10.801762,0.003999,
ibv_rc_pingpong,0,128,1000000,2048,34,189.12,21,10.825283,0.011992,189.12,19,10.829662,0.008001,
ibv_uc_pingpong,1,128,1000000,2048,2019499,54.75,1999953,3.073643,9.226045,54.75,1976590,3.903819,12.112732,
ibv_rc_pingpong,1,128,1000000,2048,2008014,64.28,1998068,3.095677,9.003303,64.28,1998669,3.011553,9.666276,
ibv_uc_pingpong,0,128,1000000,4096,34,189.64,21,10.805164,0.004000,189.64,19,10.804473,0.004001,
ibv_rc_pingpong,0,128,1000000,4096,34,188.95,21,10.839398,0.007999,188.95,19,10.839510,0.007996,
ibv_uc_pingpong,1,128,1000000,4096,2070693,60.53,1998443,2.895940,9.624585,60.53,1998728,2.932180,9.106315,
ibv_rc_pingpong,1,128,1000000,4096,2011036,63.29,1998632,3.282414,9.421087,63.29,1999214,3.102762,9.681216,
ibv_uc_pingpong,0,256,1000000,1024,34,338.49,21,12.100674,0.007997,338.50,19,12.102576,0.007999,
ibv_rc_pingpong,0,256,1000000,1024,34,335.33,21,12.218162,0.003999,335.34,19,12.215424,0.007999,
ibv_uc_pingpong,1,256,1000000,1024,2061433,118.39,1999732,2.846359,9.622433,118.39,1999937,2.863740,9.331403,
ibv_rc_pingpong,1,256,1000000,1024,2017760,109.79,1961135,3.757518,12.096785,109.79,1999980,3.387178,9.347974,
ibv_uc_pingpong,0,256,1000000,2048,34,337.59,21,12.134361,0.007998,337.60,19,12.125680,0.015991,
ibv_rc_pingpong,0,256,1000000,2048,34,336.04,20,12.185349,0.011997,336.05,19,12.190746,0.008001,
ibv_uc_pingpong,1,256,1000000,2048,2059950,118.84,1999624,3.246193,9.327466,118.84,1999849,3.021634,9.085852,
ibv_rc_pingpong,1,256,1000000,2048,2001895,122.29,1999404,3.048826,9.305327,122.29,1999861,3.051078,9.496802,
ibv_uc_pingpong,0,256,1000000,4096,34,338.40,21,12.112363,0.000000,338.40,19,12.104874,0.008000,
ibv_rc_pingpong,0,256,1000000,4096,34,335.63,21,12.204198,0.007994,335.63,19,12.209796,0.003999,
ibv_uc_pingpong,1,256,1000000,4096,2060839,119.63,1999700,3.039809,9.191805,119.63,1999906,3.081534,9.468346,
ibv_rc_pingpong,1,256,1000000,4096,2002426,122.62,1999356,3.381263,9.330174,122.62,1999896,3.149763,9.298534,
ibv_uc_pingpong,0,512,1000000,1024,34,555.35,21,14.751155,0.007997,555.35,19,14.755399,0.003999,
ibv_rc_pingpong,0,512,1000000,1024,34,553.31,21,14.807019,0.007999,553.31,19,14.803486,0.011999,
ibv_uc_pingpong,1,512,1000000,1024,2066700,228.35,1999927,2.964128,9.419223,228.35,2000002,3.022963,9.290857,
ibv_rc_pingpong,1,512,1000000,1024,2001095,225.21,1999690,2.933525,9.637065,225.21,1999979,3.157067,9.314508,
ibv_uc_pingpong,0,512,1000000,2048,34,554.87,21,14.769171,0.004000,554.88,19,14.764185,0.007997,
ibv_rc_pingpong,0,512,1000000,2048,34,553.44,21,14.801835,0.007998,553.44,19,14.807892,0.003999,
ibv_uc_pingpong,1,512,1000000,2048,2065133,213.69,2000018,2.934250,9.302540,213.69,1998234,3.946967,11.829031,
ibv_rc_pingpong,1,512,1000000,2048,2001121,226.72,1999583,3.241598,9.047752,226.72,1999963,3.197528,9.407815,
ibv_uc_pingpong,0,512,1000000,4096,34,556.43,21,14.722605,0.007999,556.44,19,14.728080,0.004000,
ibv_rc_pingpong,0,512,1000000,4096,34,553.36,21,14.800282,0.011996,553.36,19,14.812111,0.000000,
ibv_uc_pingpong,1,512,1000000,4096,2065293,211.41,1996685,3.448655,12.452476,211.41,1999991,3.085839,9.511584,
ibv_rc_pingpong,1,512,1000000,4096,2001120,204.38,2000010,3.051920,9.498077,204.38,1996997,3.621641,12.171088,
ibv_uc_pingpong,0,1024,1000000,1024,34,824.25,21,19.880801,0.003999,824.25,19,19.887096,0.000000,
ibv_rc_pingpong,0,1024,1000000,1024,34,821.82,21,19.935728,0.007998,821.83,19,19.943003,0.000000,
ibv_uc_pingpong,1,1024,1000000,1024,2950028,378.61,2000016,3.152519,9.199673,378.61,1999523,3.579024,12.235539,
ibv_rc_pingpong,1,1024,1000000,1024,2000218,360.61,1999387,4.042037,11.995147,360.61,2000014,3.185808,9.163195,
ibv_uc_pingpong,0,1024,1000000,2048,34,824.27,21,19.878317,0.007999,824.27,19,19.884829,0.000000,
ibv_rc_pingpong,0,1024,1000000,2048,34,820.65,21,19.967017,0.003999,820.66,19,19.964773,0.007997,
ibv_uc_pingpong,1,1024,1000000,2048,3991350,373.46,2000011,2.872436,9.486991,373.46,2000011,3.034604,9.300407,
ibv_rc_pingpong,1,1024,1000000,2048,2000240,384.59,1999993,3.476801,9.221671,384.59,2000015,3.101221,9.387479,
ibv_uc_pingpong,0,1024,1000000,4096,34,824.25,21,19.882696,0.003999,824.26,19,19.873076,0.012000,
ibv_rc_pingpong,0,1024,1000000,4096,34,822.15,21,19.931185,0.003999,822.16,19,19.927297,0.007999,
ibv_uc_pingpong,1,1024,1000000,4096,4016759,373.26,2000006,3.054085,9.496951,373.26,2000015,3.126935,9.009902,
ibv_rc_pingpong,1,1024,1000000,4096,2000282,361.44,1999645,3.528377,12.234132,361.44,1999997,3.109672,9.683488,
ibv_uc_pingpong,0,2048,1000000,1024,34,1297.89,21,25.254632,0.000000,1297.90,19,25.249324,0.004000,
ibv_rc_pingpong,0,2048,1000000,1024,34,1299.02,21,25.231476,0.000000,1299.03,19,25.230625,0.003999,
ibv_uc_pingpong,1,2048,1000000,1024,3935411,653.76,2000015,3.183331,8.842586,653.76,2000018,2.888493,9.350799,
ibv_rc_pingpong,1,2048,1000000,1024,2000141,683.22,1999995,3.274087,9.559716,683.22,2000017,3.255042,8.907448,
ibv_uc_pingpong,0,2048,1000000,2048,34,1086.46,21,30.155183,0.011998,1086.47,19,30.162470,0.003999,
ibv_rc_pingpong,0,2048,1000000,2048,34,1082.41,21,30.270787,0.007997,1082.41,19,30.278528,0.003999,
ibv_uc_pingpong,1,2048,1000000,2048,5925836,607.02,2000019,2.802382,9.081694,607.02,2000017,3.068586,9.291443,
ibv_rc_pingpong,1,2048,1000000,2048,2000056,619.89,2000019,3.354009,8.796920,619.89,2000017,3.409654,9.104068,
ibv_uc_pingpong,0,2048,1000000,4096,34,1086.00,21,30.175848,0.003999,1086.01,19,30.171256,0.007998,
ibv_rc_pingpong,0,2048,1000000,4096,34,1081.81,21,30.287729,0.007997,1081.81,19,30.287231,0.007998,
ibv_uc_pingpong,1,2048,1000000,4096,5947611,604.36,2000019,2.817973,9.193637,604.36,2000013,2.689428,9.618124,
ibv_rc_pingpong,1,2048,1000000,4096,2000085,618.61,2000000,3.404847,9.357098,618.61,2000017,3.222467,8.969286,
ibv_uc_pingpong,0,4096,976562,1024,34,1817.24,21,35.219574,0.003999,1817.25,19,35.218730,0.003998,
ibv_rc_pingpong,0,4096,976562,1024,34,1813.83,21,35.277496,0.011997,1813.84,19,35.281442,0.011999,
ibv_uc_pingpong,1,4096,976562,1024,3904923,1077.57,1953133,2.823569,9.477945,1077.57,1953143,3.126063,8.722897,
ibv_rc_pingpong,1,4096,976562,1024,1953209,1113.14,1953131,3.029162,9.357671,1113.14,1953143,3.167376,8.859006,
ibv_uc_pingpong,0,4096,976562,2048,34,1610.37,21,39.742314,0.007998,1610.38,19,39.734107,0.011997,
ibv_rc_pingpong,0,4096,976562,2048,34,1600.35,21,39.989593,0.007999,1600.35,19,39.991816,0.003999,
ibv_uc_pingpong,1,4096,976562,2048,5067244,1030.33,1953136,2.827874,9.361590,1030.33,1953139,3.010498,8.701012,
ibv_rc_pingpong,1,4096,976562,2048,1953231,981.75,1953086,3.659013,12.158764,981.75,1953139,3.156084,8.890112,
ibv_uc_pingpong,0,4096,976562,4096,34,1289.39,21,49.639150,0.000000,1289.40,19,49.639599,0.003999,
ibv_rc_pingpong,0,4096,976562,4096,33,1286.88,21,49.732783,0.003999,1286.89,19,49.727308,0.007998,
ibv_uc_pingpong,1,4096,976562,4096,7689331,833.02,1953143,2.789811,9.283897,833.02,1953056,3.072344,9.299834,
ibv_rc_pingpong,1,4096,976562,4096,1953197,885.89,1953140,3.425645,8.925710,885.90,1953143,3.130106,9.376367,
ibv_uc_pingpong,0,8192,488281,1024,34,2225.69,21,28.754544,0.007998,2225.70,19,28.753669,0.007999,
ibv_rc_pingpong,0,8192,488281,1024,34,2247.18,21,28.481352,0.008000,2247.20,19,28.475074,0.011997,
ibv_uc_pingpong,1,8192,488281,1024,1065427,1620.25,976582,1.495137,4.551617,1620.25,976550,1.779128,6.106222,
ibv_rc_pingpong,1,8192,488281,1024,976620,1612.56,976582,1.668131,4.574723,1612.57,976581,1.457882,4.694790,
ibv_uc_pingpong,0,8192,488281,2048,34,2091.30,21,30.605816,0.003999,2091.30,19,30.604607,0.007999,
ibv_rc_pingpong,0,8192,488281,2048,34,2080.36,21,30.765813,0.003999,2080.36,19,30.763525,0.007998,
ibv_uc_pingpong,1,8192,488281,2048,2653401,1511.72,976582,1.595964,4.563540,1511.73,976580,1.405748,4.569961,
